id_flux;id_periode;id_type_flux;id_fixes;id_categorie;date_flux;montant;tags;description
1;1;2;2;102;2024-09-02;350.00000;#Epargne;Epargne août et réserve
2;1;2;2;89;2024-09-02;9.00000;#Soirée;Soirée inté ENSIMAG
3;1;1;1;98;2024-09-02;1329.00000;#Salaire;Salaire août
4;1;2;1;77;2024-09-02;390.00000;#Loyer;Loyer septembre 2024
6;1;2;2;87;2024-09-03;16.00000;#Cheese #Naan;Cheese Naan après soirée
7;1;2;1;60;2024-09-03;13.49000;#Netflix;Netflix septembre
8;1;1;1;85;2024-09-04;100.00000;#Mobili-Jeune;Mobili-Jeune septembre 2024
9;1;2;2;88;2024-09-02;20.00000;#elior;Cantine Elior
10;1;2;1;66;2024-09-05;77.59000;#macif;Assurance Flash et logement
11;1;1;1;83;2024-09-05;309.63000;#caf;APL et prime
12;1;2;2;47;2024-09-06;12.00000;#coiffure;Coiffure rentrée
13;1;2;2;69;2024-09-06;11.90000;#autoroute;Autoroute direction Valserhône
14;1;2;2;88;2024-09-06;20.00000;#elior;Cantine Elior
15;1;2;2;94;2024-09-07;11.72000;#action;Multiprises et support
16;1;2;2;65;2024-09-07;14.19000;#huile;Huile moteur pour Simba
17;1;2;2;28;2024-09-07;1.59000;#chips;Chips chèvre
18;1;2;2;23;2024-09-07;6.59000;#sucrerie;Nutella
19;1;2;2;51;2024-09-07;1.55000;#deodorant;Deo toilettes
20;1;2;2;52;2024-09-07;12.10000;#creme;Crème petit Marseillais à rembourser
5;1;2;3;107;2024-09-03;103.00000;#Ecole;CVEC pour IUT
