ID Flux;Période;Type de flux;Fixes;Catégorie;Sous-catégorie;Date;Montant;Tags;Description
1;Entreprise;Sortie;Variable;Epargne;Livret A;2024-09-02;350.00000;#Epargne;Epargne août et réserve
2;Entreprise;Sortie;Variable;Divertissement;Brasserie;2024-09-02;9.00000;#Soirée;Soirée inté ENSIMAG
3;Entreprise;Entrée;Fixe;Emploi;Salaire;2024-09-02;1329.00000;#Salaire;Salaire août
4;Entreprise;Sortie;Fixe;Logement;Loyer;2024-09-02;390.00000;#Loyer;Loyer septembre 2024
5;Entreprise;Sortie;Exceptionnel;Impôts;Impôts;2024-09-03;103.00000;#Ecole;CVEC pour IUT
6;Entreprise;Sortie;Variable;Divertissement;Restauration;2024-09-03;16.00000;#Cheese #Naan;Cheese Naan après soirée
7;Entreprise;Sortie;Fixe;Abonnement;Streaming;2024-09-03;13.49000;#Netflix;Netflix septembre
8;Entreprise;Entrée;Fixe;Aide;Mobili-Jeune;2024-09-04;100.00000;#Mobili-Jeune;Mobili-Jeune septembre 2024
9;Entreprise;Sortie;Variable;Divertissement;Cantine;2024-09-02;20.00000;#elior;Cantine Elior
10;Entreprise;Sortie;Fixe;Transports;Assurance véhicule;2024-09-05;77.59000;#macif;Assurance Flash et logement
11;Entreprise;Entrée;Fixe;Aide;APL;2024-09-05;309.63000;#caf;APL et prime
12;Entreprise;Sortie;Variable;Esthétique;Coiffeur;2024-09-06;12.00000;#coiffure;Coiffure rentrée
13;Entreprise;Sortie;Variable;Transports;Autoroute;2024-09-06;11.90000;#autoroute;Autoroute direction Valserhône
14;Entreprise;Sortie;Variable;Divertissement;Cantine;2024-09-06;20.00000;#elior;Cantine Elior
15;Entreprise;Sortie;Variable;Divertissement;Informatique;2024-09-07;11.72000;#action;Multiprises et support
16;Entreprise;Sortie;Variable;Transports;Huile Moteur;2024-09-07;14.19000;#huile;Huile moteur pour Simba
17;Entreprise;Sortie;Variable;Courses;Apéritifs;2024-09-07;1.59000;#chips;Chips chèvre
18;Entreprise;Sortie;Variable;Courses;Sucrerie;2024-09-07;6.59000;#sucrerie;Nutella
19;Entreprise;Sortie;Variable;Hygiène;Ménage;2024-09-07;1.55000;#deodorant;Deo toilettes
20;Entreprise;Sortie;Variable;Hygiène;Sanitaire;2024-09-07;12.10000;#creme;Crème petit Marseillais à rembourser
21;Entreprise;Sortie;Variable;Transports;Carburant;2024-09-08;62.99000;#gazole;Gazole pour Flash
22;Ecole;Sortie;Variable;Courses;Fruits;2024-09-09;1.11000;#fruits;courses pour famille et moi
23;Ecole;Sortie;Variable;Courses;Légumes;2024-09-09;0.83000;#légumes;courses pour famille et moi
24;Ecole;Sortie;Variable;Courses;Viandes;2024-09-09;6.99000;#cordon-bleu;courses pour famille et moi
25;Ecole;Sortie;Variable;Courses;Légumes;2024-09-09;0.99000;#salade #carottes;courses pour famille et moi
26;Ecole;Sortie;Variable;Courses;Légumes;2024-09-09;0.99000;#tomates #cerises;courses pour famille et moi
27;Ecole;Sortie;Variable;Courses;Desserts;2024-09-09;2.29000;#yaourts;courses pour famille et moi
28;Ecole;Sortie;Variable;Courses;Fromages;2024-09-09;1.98000;#rapé;courses pour famille et moi
29;Ecole;Sortie;Variable;Courses;Sauces;2024-09-09;2.98000;#ketchup;courses pour famille et moi
30;Ecole;Sortie;Variable;Courses;Fromages;2024-09-09;2.04000;#cheddar;courses pour famille et moi
31;Ecole;Sortie;Variable;Courses;Fromages;2024-09-09;1.65000;#parmesan;courses pour famille et moi
32;Ecole;Sortie;Variable;Courses;Sauces;2024-09-09;2.39000;#samourai;courses pour famille et moi
33;Ecole;Sortie;Variable;Courses;Epices;2024-09-09;0.85000;#ail;courses pour famille et moi
34;Ecole;Sortie;Variable;Courses;Sauces;2024-09-09;1.04000;#tomates #sauces;courses pour famille et moi
35;Ecole;Sortie;Variable;Courses;Apéritifs;2024-09-09;1.31000;#chips;courses pour famille et moi
36;Ecole;Sortie;Variable;Courses;Apéritifs;2024-09-09;1.55000;#chips;courses pour famille et moi
37;Ecole;Sortie;Variable;Courses;Pain;2024-09-09;1.19000;#pain-au-lait;courses pour famille et moi
38;Ecole;Sortie;Variable;Courses;Sucrerie;2024-09-09;1.39000;#donuts;courses pour famille et moi
39;Ecole;Sortie;Variable;Courses;Légumes;2024-09-09;2.79000;#tomates-boeuf;courses pour famille et moi
40;Ecole;Sortie;Variable;Courses;Viandes;2024-09-09;2.48000;#oeufs;courses pour famille et moi
41;Ecole;Sortie;Variable;Courses;Sucrerie;2024-09-09;1.16000;#chewing-gum;courses pour famille et moi
42;Ecole;Sortie;Variable;Courses;Sucrerie;2024-09-09;2.50000;#biscuits;courses pour famille et moi
